Y Point Analytics 
 Y V S SPICES AND CO 
 Y-Axis Solutions Pvt. Ltd. 
 YAAK Universal communications pvt ltd. 
 Yaal Systems Pvt Ltd 
 Yaha Life Private Limited 
 YAJUR COMMODITIES LTD 
 YanTai City AOWID Refrigeration Equipment Co ltd.
 Yantriks India Pvt. Ltd. 
 Yapsody India Pvt Ltd 
 Yardi Software India Pvt Ltd 
 Yash Computech Solution Pvt. Ltd 
 YASH FINANCE 
 Yash Technologies Pvt ltd 
 YASHAM SPECIALITY INGREDIENTS PVT LTD 
 Yashco Systems 
 Yashika Overseas 
 Yashmay Adventure India (P) Ltd. 
 Yashoda Super Speciality Hospital 
 Yashraj Biotechnology Ltd 
 YASKAWA India Pvt Ltd Garg Siksha Sanshtan) 
 Yatra Online Pvt Ltd. 
 YAZAKI INDIA Private Limited 
 Yellow Banana Food Company Pvt Ltd 
 Yellow Bus Intergrated Services 
 Yellow Drive Technologies Pvt Ltd 
 Yellow Turban Films 
 YellowThread LLC 
 Yes Bank Ltd 
 YesorYes Private Limited 
 YESS CONSULTANT 
 YNA Health Care Solutions Pvt. Ltd. 
 Yodlee Infotech Private Limited 
 Yog Power Studio Private Limited 
 YogaSutra 
 Yogesh Shah Securities Pvt Ltd 
 Yokogawa Middle East 
 Yongma Engineering Co.
 Ltd. 
 YooFoo 
 YOptima Media Solutions Pvt. Ltd. 
 Yottec 
 Young Brand Apparel Pvt Ltd. 
 YoungTechies Systems Pvt. Ltd. 
 Your Pitchh 
 Yro Systems Pvt Ltd 
 YSP INDUSTRIES 
 YTRRE SOFTWARE SOLUTIONS PRIVATE LIMITED 
 YUGAL AIRCONDITIONERS 
 Yuhiro Technologies Private Limited 
 Yukti Solutions Private Limited 
 YuMe India Private Limited. 
 YUNAKTI TECHNOLOGIES PRIVATE LIMITED 
 Yung Digital Media India Pvt Ltd 
 YuppTV India Pvt Ltd 
 Yusen Logistics (India) Private Limited 
 Yuto Printing and packaging india pvt ltd 
 YUVA TRIP PRIVATE LIMITED
